,city,company,jobTitle,meanPay
0,New Delhi (India),Delhivery,Data Scientist,"12,89,970/yr"
1,New Delhi (India),UnitedHealth Group,Data Scientist,"12,92,446/yr"
2,New Delhi (India),Cognizant Technology Solutions,Data Scientist,"9,74,464/yr"
3,New Delhi (India),IBM,Data Scientist,"6,67,923/yr"
4,New Delhi (India),Valiance Solutions,Data Scientist,"7,54,305/yr"
5,New Delhi (India),Analytics Vidhya,Data Scientist - Monthly Intern,"20,715/mo"
6,New Delhi (India),Innovaccer,Data Scientist,"11,58,745/yr"
7,New Delhi (India),Vidooly Media Tech,Data Scientist - Monthly Intern,"12,257/mo"
8,New Delhi (India),Tata Consultancy Services,Data Scientist,"5,73,224/yr"
9,New Delhi (India),Accenture,Data Scientist,"8,63,312/yr"
10,New Delhi (India),Ericsson-Worldwide,Data Scientist,"10,86,133/yr"
11,New Delhi (India),ZS Associates,Data Scientist,"9,31,647/yr"
12,New Delhi (India),Yatra Online Pvt Ltd,Data Scientist - Monthly Intern,"15,558/mo"
13,New Delhi (India),OYO,Data Scientist,"10,63,406/yr"
14,New Delhi (India),Nagarro,Data Scientist,"9,30,203/yr"
15,New Delhi (India),Times Internet,Data Scientist,"33,48,814/yr"
16,New Delhi (India),CARS24.com,Data Scientist,"14,25,607/yr"
17,New Delhi (India),LiquidHub,Data Scientist,"9,81,127/yr"
18,New Delhi (India),Guavus,Data Scientist,"13,65,147/yr"
19,New Delhi (India),Atlan,Data Scientist - Monthly Intern,"16,746/mo"
20,New Delhi (India),Exzeo,Data Scientist,"7,66,206/yr"
21,New Delhi (India),Vidooly Media Tech,Data Scientist - Monthly,"15,368/mo"
22,New Delhi (India),Tech Mahindra,Data Scientist,0/yr
23,New Delhi (India),Publicis Sapient,Data Scientist,"xx,xxx/yr"
24,New Delhi (India),WNS,Data Scientist,"xx,xxx/yr"
25,New Delhi (India),OYO,Data Scientist - Monthly Intern,"xx,xxx/mo"
26,New Delhi (India),dunnhumby,Data Scientist,"xx,xxx/yr"
27,New Delhi (India),Naukri.com,Data Scientist,"xx,xxx/yr"
28,New Delhi (India),CarDekho,Data Scientist,"xx,xxx/yr"
29,New Delhi (India),1mg,Data Scientist - Monthly Intern,"xx,xxx/mo"
30,New Delhi (India),Loginworks,Data Scientist,"xx,xxx/yr"
31,New Delhi (India),Valiance Solutions,Data Scientist - Monthly,"xx,xxx/mo"
32,New Delhi (India),Cube26,Data Scientist,"xx,xxx/yr"
33,New Delhi (India),Algo8.ai,Data Scientist,"xx,xxx/yr"
34,New Delhi (India),FarmGuide,Data Scientist,"xx,xxx/yr"
35,New Delhi (India),Humonics,Data Scientist,"xx,xxx/yr"
36,New Delhi (India),Profeza,Data Scientist - Monthly Intern,"xx,xxx/mo"
37,New Delhi (India),Tata Consultancy Services,Data Scientist - Monthly Intern,"xx,xxx/mo"
38,New Delhi (India),Tata Consultancy Services,Data Scientist - Monthly,"xx,xxx/mo"
39,New Delhi (India),Infosys,Data Scientist - Monthly Intern,"xx,xxx/mo"
40,New Delhi (India),Capgemini,Data Scientist,0/yr
41,New Delhi (India),IBM,Data Scientist - Monthly,0/mo
42,New Delhi (India),HCL Technologies,Data Scientist,0/yr
43,New Delhi (India),Amazon,Data Scientist,"xx,xxx/yr"
44,New Delhi (India),Deloitte,Data Scientist,"xx,xxx/yr"
45,New Delhi (India),Deloitte,Data Scientist - Monthly Intern,"xx,xxx/mo"
46,New Delhi (India),Deloitte,Data Scientist,"xx,xxx/yr"
47,New Delhi (India),EY,Data Scientist - Monthly Intern,"xx,xxx/mo"
48,New Delhi (India),Genpact,Data Scientist,"xx,xxx/yr"
49,New Delhi (India),ICICI Bank,Data Scientist - Monthly,"xx,xxx/mo"
50,New Delhi (India),Microsoft,Data Scientist,"xx,xxx/yr"
51,New Delhi (India),Ericsson-Worldwide,Data Scientist - Monthly Intern,"xx,xxx/mo"
52,New Delhi (India),Larsen & Toubro,Data Scientist - Monthly,"xx,xxx/mo"
