,city,company,jobTitle,meanPay
0,New Delhi (India),HCL Technologies,Project Leader,"9,60,524/yr"
1,New Delhi (India),R Systems,Project Leader,"15,10,846/yr"
2,New Delhi (India),CSC,Project Leader,"13,91,740/yr"
3,New Delhi (India),Grail Insights,Project Leader,"13,33,477/yr"
4,New Delhi (India),Sopra Steria,Project Leader,"15,63,532/yr"
5,New Delhi (India),Axtria,Project Leader,"16,83,404/yr"
6,New Delhi (India),UnitedHealth Group,Project Leader,"19,41,003/yr"
7,New Delhi (India),Bain & Company,Project Leader,"22,79,513/yr"
8,New Delhi (India),Wipro,Project Leader,"13,82,864/yr"
9,New Delhi (India),Tech Mahindra,Project Leader,"10,92,800/yr"
10,New Delhi (India),OYO,Project Leader,"5,68,922/yr"
11,New Delhi (India),Boston Consulting Group,Project Leader,"61,47,001/yr"
12,New Delhi (India),Fidelity International,Project Leader,"18,97,877/yr"
13,New Delhi (India),Mercer,Project Leader,"14,94,232/yr"
14,New Delhi (India),NCR,Project Leader,"15,93,847/yr"
15,New Delhi (India),HCL Technologies,Project Leader - Monthly,"56,353/mo"
16,New Delhi (India),NIIT Technologies,Project Leader,"18,88,744/yr"
17,New Delhi (India),Birlasoft,Project Leader,"13,49,185/yr"
18,New Delhi (India),Mahindra Satyam,Project Leader,"14,20,792/yr"
19,New Delhi (India),Ford Motor Company,Project Leader,"13,16,140/yr"
20,New Delhi (India),Wipro,Project Leader - Monthly,"51,043/mo"
21,New Delhi (India),IBM,Project Leader,"12,87,943/yr"
22,New Delhi (India),BT,Project Leader,"10,04,759/yr"
23,New Delhi (India),CenturyLink,Project Leader,"xx,xxx/yr"
24,New Delhi (India),IGT Solutions,Project Leader,"xx,xxx/yr"
25,New Delhi (India),Damco Solutions,Project Leader,"xx,xxx/yr"
26,New Delhi (India),Flexsin,Project Leader - Monthly,"xx,xxx/mo"
27,New Delhi (India),MothersonSumi INfotech & Designs,Project Leader,"xx,xxx/yr"
28,New Delhi (India),Ebusinessware,Project Leader,"xx,xxx/yr"
29,New Delhi (India),Tata Consultancy Services,Project Leader,"xx,xxx/yr"
30,New Delhi (India),Capgemini,Project Leader,"xx,xxx/yr"
31,New Delhi (India),Oracle,Project Leader,"xx,xxx/yr"
32,New Delhi (India),Nokia,Project Leader,"xx,xxx/yr"
33,New Delhi (India),IGATE,Project Leader,"xx,xxx/yr"
34,New Delhi (India),Nagarro,Project Leader,"xx,xxx/yr"
35,New Delhi (India),Fidelity Investments,Project Leader,"xx,xxx/yr"
36,New Delhi (India),Fiserv,Project Leader,"xx,xxx/yr"
37,New Delhi (India),NIIT,Project Leader - Monthly,"xx,xxx/mo"
38,New Delhi (India),Optum,Project Leader,"xx,xxx/yr"
39,New Delhi (India),MothersonSumi INfotech and Designs,Project Leader,"xx,xxx/yr"
40,New Delhi (India),MPS,Project Leader - Monthly,0/mo
41,New Delhi (India),Dion Global Solutions,Project Leader,0/yr
42,New Delhi (India),Atrenta,Project Leader,0/yr
43,New Delhi (India),Espire Infolabs,Project Leader - Monthly,"xx,xxx/mo"
44,New Delhi (India),Path Infotech,Project Leader,"xx,xxx/yr"
45,New Delhi (India),Avalon Group,Project Leader,"xx,xxx/yr"
46,New Delhi (India),Samin TekMindz India Pvt.,Project Leader,"xx,xxx/yr"
47,New Delhi (India),Ebsavvy,Project Leader,"xx,xxx/yr"
48,New Delhi (India),Cognizant Technology Solutions,Project Leader,"xx,xxx/yr"
49,New Delhi (India),Capgemini,Project Leader - Contractor,"xx,xxx/yr"
50,New Delhi (India),IBM India,Project Leader - Monthly,"xx,xxx/mo"
51,New Delhi (India),IBM India,Project Leader,"xx,xxx/yr"
52,New Delhi (India),Altran Americas,Project Leader,"xx,xxx/yr"
53,New Delhi (India),Honeywell,Project Leader - Monthly,"xx,xxx/mo"
54,New Delhi (India),Honeywell,Project Leader,"xx,xxx/yr"
55,New Delhi (India),Samsung R&D Institute India - Bangalore,Project Leader,"xx,xxx/yr"
56,New Delhi (India),CSC,Project Leader - Monthly,"xx,xxx/mo"
57,New Delhi (India),NatWest Group,Project Leader,"xx,xxx/yr"
58,New Delhi (India),OYO,Project Leader - Monthly,"xx,xxx/mo"
59,New Delhi (India),UnitedHealth Group,Project Leader - Monthly,"xx,xxx/mo"
60,New Delhi (India),Samsung Electronics,Project Leader,0/yr
61,New Delhi (India),GE,Project Leader,0/yr
62,New Delhi (India),FIS,Project Leader,0/yr
63,New Delhi (India),ITC Infotech,Project Leader - Monthly,"xx,xxx/mo"
64,New Delhi (India),Cyient,Project Leader - Monthly,"xx,xxx/mo"
65,New Delhi (India),NIIT Technologies,Project Leader - Monthly,"xx,xxx/mo"
66,New Delhi (India),Tata Communications,Project Leader - Monthly Contractor,"xx,xxx/mo"
67,New Delhi (India),Newgen Software,Project Leader,"xx,xxx/yr"
68,New Delhi (India),Aon Hewitt,Project Leader,"xx,xxx/yr"
69,New Delhi (India),IndiaMART,Project Leader,"xx,xxx/yr"
70,New Delhi (India),QuEST Global,Project Leader,"xx,xxx/yr"
71,New Delhi (India),Alcatel-Lucent,Project Leader,"xx,xxx/yr"
72,New Delhi (India),Happiest Minds Technologies,Project Leader,"xx,xxx/yr"
73,New Delhi (India),NIIT,Project Leader,"xx,xxx/yr"
74,New Delhi (India),Walmart,Project Leader,"xx,xxx/yr"
75,New Delhi (India),Conduent,Project Leader,"xx,xxx/yr"
76,New Delhi (India),3i Infotech,Project Leader,"xx,xxx/yr"
77,New Delhi (India),Emerson,Project Leader,"xx,xxx/yr"
78,New Delhi (India),Cvent,Project Leader,"xx,xxx/yr"
79,New Delhi (India),Fidelity International,Project Leader - Contractor,"xx,xxx/yr"
80,New Delhi (India),Broadridge,Project Leader,0/yr
81,New Delhi (India),NEC Technologies India,Project Leader - Monthly,0/mo
82,New Delhi (India),NEC Technologies India,Project Leader,0/yr
83,New Delhi (India),IGT Solutions,Project Leader - Monthly,"xx,xxx/mo"
84,New Delhi (India),R Systems,Project Leader - Monthly,"xx,xxx/mo"
85,New Delhi (India),Aptara,Project Leader - Monthly,"xx,xxx/mo"
86,New Delhi (India),Alight Solutions,Project Leader,"xx,xxx/yr"
87,New Delhi (India),Fluor,Project Leader,"xx,xxx/yr"
88,New Delhi (India),Grail Insights,Project Leader - Monthly Contractor,"xx,xxx/mo"
89,New Delhi (India),DuPont,Project Leader,"xx,xxx/yr"
90,New Delhi (India),Integreon,Project Leader,"xx,xxx/yr"
91,New Delhi (India),Honda Siel Cars India,Project Leader,"xx,xxx/yr"
92,New Delhi (India),LiquidHub,Project Leader,"xx,xxx/yr"
93,New Delhi (India),Honda Motorcycle & Scooter India Pvt.,Project Leader - Monthly,"xx,xxx/mo"
94,New Delhi (India),Zinnov Management Consulting,Project Leader,"xx,xxx/yr"
95,New Delhi (India),Bureau Veritas,Project Leader,"xx,xxx/yr"
96,New Delhi (India),Keysight Technologies,Project Leader,"xx,xxx/yr"
97,New Delhi (India),Secure Meters,Project Leader,"xx,xxx/yr"
98,New Delhi (India),Velocis Systems,Project Leader - Monthly,"xx,xxx/mo"
99,New Delhi (India),Gemalto,Project Leader,"xx,xxx/yr"
100,New Delhi (India),Innodata,Project Leader,0/yr
101,New Delhi (India),Vinculum Solutions,Project Leader,0/yr
102,New Delhi (India),Q3 Technologies,Project Leader - Monthly,0/mo
103,New Delhi (India),RMSI (India),Project Leader,"xx,xxx/yr"
104,New Delhi (India),Syniverse,Project Leader,"xx,xxx/yr"
105,New Delhi (India),Binary Semantics,Project Leader,"xx,xxx/yr"
106,New Delhi (India),Risk Management Solutions,Project Leader,"xx,xxx/yr"
107,New Delhi (India),Eastern Software Systems,Project Leader,"xx,xxx/yr"
108,New Delhi (India),Ansys,Project Leader,"xx,xxx/yr"
109,New Delhi (India),Bravura Solutions,Project Leader,"xx,xxx/yr"
110,New Delhi (India),Sdgc,Project Leader,"xx,xxx/yr"
111,New Delhi (India),AgreeYa Solutions,Project Leader,"xx,xxx/yr"
112,New Delhi (India),AgreeYa Solutions,Project Leader - Monthly,"xx,xxx/mo"
113,New Delhi (India),Espire Infolabs,Project Leader,"xx,xxx/yr"
114,New Delhi (India),OSSCube,Project Leader,"xx,xxx/yr"
115,New Delhi (India),OSSCube,Project Leader - Monthly,"xx,xxx/mo"
