,city,company,jobTitle,meanPay
0,New Delhi (India),HCL Technologies,Project Manager,"13,65,147/yr"
1,New Delhi (India),IBM,Project Manager,"16,44,416/yr"
2,New Delhi (India),Times Internet,Project Manager,"16,56,494/yr"
3,New Delhi (India),Snapdeal,Project Manager,"23,76,757/yr"
4,New Delhi (India),CSC,Project Manager,"16,45,569/yr"
5,New Delhi (India),Tata Consultancy Services,Project Manager,"16,72,578/yr"
6,New Delhi (India),Paytm,Project Manager,"23,36,674/yr"
7,New Delhi (India),Nagarro,Project Manager,"22,07,287/yr"
8,New Delhi (India),Tech Mahindra,Project Manager,"13,47,576/yr"
9,New Delhi (India),Accenture,Project Manager,"29,08,004/yr"
10,New Delhi (India),BT,Project Manager,"18,43,458/yr"
11,New Delhi (India),Wipro,Project Manager,"18,00,067/yr"
12,New Delhi (India),IBM India,Project Manager,"17,80,036/yr"
13,New Delhi (India),OYO,Project Manager,"13,99,336/yr"
14,New Delhi (India),NatWest Group,Project Manager,"25,17,124/yr"
15,New Delhi (India),NIIT Technologies,Project Manager,"17,00,445/yr"
16,New Delhi (India),MakeMyTrip,Project Manager,"18,09,845/yr"
17,New Delhi (India),NIIT,Project Manager,"14,22,592/yr"
18,New Delhi (India),OYO,Project Manager,"18,70,114/yr"
19,New Delhi (India),Evalueserve,Project Manager,"12,08,668/yr"
20,New Delhi (India),Bharti Airtel,Project Manager,"24,00,258/yr"
21,New Delhi (India),Publicis Sapient,Project Manager,"18,77,027/yr"
22,New Delhi (India),Altran Americas,Project Manager,"18,39,614/yr"
23,New Delhi (India),IndiaMART,Project Manager,"xx,xxx/yr"
24,New Delhi (India),IBM,Project Manager - Monthly,"xx,xxx/mo"
25,New Delhi (India),Infosys,Project Manager,"xx,xxx/yr"
26,New Delhi (India),PolicyBazaar,Project Manager,"xx,xxx/yr"
27,New Delhi (India),GlobalLogic,Project Manager,"xx,xxx/yr"
28,New Delhi (India),Bharti Airtel,Project Manager,"xx,xxx/yr"
29,New Delhi (India),MagicBricks,Project Manager,"xx,xxx/yr"
30,New Delhi (India),Fidelity International,Project Manager,"xx,xxx/yr"
31,New Delhi (India),HCL,Project Manager,"xx,xxx/yr"
32,New Delhi (India),Orange,Project Manager,"xx,xxx/yr"
33,New Delhi (India),Genpact,Project Manager,"xx,xxx/yr"
34,New Delhi (India),Birlasoft,Project Manager,"xx,xxx/yr"
35,New Delhi (India),KPMG,Project Manager,"xx,xxx/yr"
36,New Delhi (India),Sopra Steria,Project Manager,"xx,xxx/yr"
37,New Delhi (India),STMicroelectronics,Project Manager,"xx,xxx/yr"
38,New Delhi (India),Nokia,Project Manager,"xx,xxx/yr"
39,New Delhi (India),NEC Technologies India,Project Manager,"xx,xxx/yr"
40,New Delhi (India),Tata Consultancy Services,Project Manager - Monthly,"66,979/mo"
41,New Delhi (India),Comviva,Project Manager,"18,31,694/yr"
42,New Delhi (India),Adobe,Project Manager,"31,11,517/yr"
43,New Delhi (India),Siemens,Project Manager,"xx,xxx/yr"
44,New Delhi (India),Nucleus Software Exports,Project Manager,"xx,xxx/yr"
45,New Delhi (India),Internet Moguls,Project Manager - Monthly,"xx,xxx/mo"
46,New Delhi (India),Oxigen,Project Manager,"xx,xxx/yr"
47,New Delhi (India),NTT DATA,Project Manager,"xx,xxx/yr"
48,New Delhi (India),Toluna,Project Manager,"xx,xxx/yr"
49,New Delhi (India),SmartAnalyst,Project Manager,"xx,xxx/yr"
50,New Delhi (India),EXL Service,Project Manager,"xx,xxx/yr"
51,New Delhi (India),American Express,Project Manager,"xx,xxx/yr"
52,New Delhi (India),Nexaweb,Project Manager,"xx,xxx/yr"
53,New Delhi (India),Newgen Software,Project Manager,"xx,xxx/yr"
54,New Delhi (India),Aptara,Project Manager,"xx,xxx/yr"
55,New Delhi (India),Thomson Digital,Project Manager,"xx,xxx/yr"
56,New Delhi (India),Snapdeal,Project Manager,"xx,xxx/yr"
57,New Delhi (India),UnitedHealth Group,Project Manager,"xx,xxx/yr"
58,New Delhi (India),Aon Hewitt,Project Manager,"xx,xxx/yr"
59,New Delhi (India),Mercer,Project Manager,"xx,xxx/yr"
60,New Delhi (India),HCL Infosystems,Project Manager,"12,27,529/yr"
61,New Delhi (India),HCL Infosystems,Project Manager,"12,87,495/yr"
62,New Delhi (India),CarDekho,Project Manager,"14,40,155/yr"
63,New Delhi (India),Deloitte,Project Manager,"xx,xxx/yr"
64,New Delhi (India),Info Edge,Project Manager,"xx,xxx/yr"
65,New Delhi (India),Kellton Tech,Project Manager,"xx,xxx/yr"
66,New Delhi (India),Dell Technologies,Project Manager,"xx,xxx/yr"
67,New Delhi (India),Hike,Project Manager,"xx,xxx/yr"
68,New Delhi (India),EY,Project Manager,"xx,xxx/yr"
69,New Delhi (India),Pitney Bowes,Project Manager,"xx,xxx/yr"
70,New Delhi (India),Sun Life,Project Manager,"xx,xxx/yr"
71,New Delhi (India),Affiliated Computer Services,Project Manager,"xx,xxx/yr"
72,New Delhi (India),Adobe,Project Manager,"xx,xxx/yr"
73,New Delhi (India),R Systems,Project Manager,"xx,xxx/yr"
74,New Delhi (India),Delhivery,Project Manager,"xx,xxx/yr"
75,New Delhi (India),MetLife,Project Manager,"xx,xxx/yr"
76,New Delhi (India),IOMEDIA,Project Manager - Monthly,"xx,xxx/mo"
77,New Delhi (India),Sprinklr,Project Manager,"xx,xxx/yr"
78,New Delhi (India),Shopclues,Project Manager,"xx,xxx/yr"
79,New Delhi (India),Ericsson-Worldwide,Project Manager,"xx,xxx/yr"
80,New Delhi (India),Proptiger,Project Manager,"23,73,309/yr"
81,New Delhi (India),CBRE,Project Manager,"9,89,514/yr"
82,New Delhi (India),SapientNitro,Project Manager,"15,96,471/yr"
83,New Delhi (India),Lava International,Project Manager,"xx,xxx/yr"
84,New Delhi (India),DXC Technology,Project Manager,"xx,xxx/yr"
85,New Delhi (India),Huawei Technologies,Project Manager,"xx,xxx/yr"
86,New Delhi (India),HCL Technologies,Project Manager,"xx,xxx/yr"
87,New Delhi (India),Amdocs,Project Manager,"xx,xxx/yr"
88,New Delhi (India),Panasonic,Project Manager,"xx,xxx/yr"
89,New Delhi (India),Nucleus Software Exports,Project Manager - Monthly,"xx,xxx/mo"
90,New Delhi (India),Internshala,Project Manager,"xx,xxx/yr"
91,New Delhi (India),Compro Technologies,Project Manager,"xx,xxx/yr"
92,New Delhi (India),Yatra Online Pvt Ltd,Project Manager,"xx,xxx/yr"
93,New Delhi (India),10times,Project Manager,"xx,xxx/yr"
94,New Delhi (India),Allan Lloyds,Project Manager - Monthly,"xx,xxx/mo"
95,New Delhi (India),Rivigo,Project Manager,"xx,xxx/yr"
96,New Delhi (India),Rivigo,Project Manager,"xx,xxx/yr"
97,New Delhi (India),Expedia Group,Project Manager,"xx,xxx/yr"
98,New Delhi (India),Zomato,Project Manager,"xx,xxx/yr"
99,New Delhi (India),ABC,Project Manager,"xx,xxx/yr"
100,New Delhi (India),G-Cube,Project Manager,"14,32,712/yr"
101,New Delhi (India),BT,Project Manager - Monthly,"99,177/mo"
102,New Delhi (India),One97 Communications,Project Manager,"23,40,548/yr"
103,New Delhi (India),One97 Communications,Project Manager,"xx,xxx/yr"
104,New Delhi (India),Moglix,Project Manager,"xx,xxx/yr"
105,New Delhi (India),Team Computers,Project Manager,"xx,xxx/yr"
106,New Delhi (India),Maruti Suzuki,Project Manager,"xx,xxx/yr"
107,New Delhi (India),TravelTriangle,Project Manager,"xx,xxx/yr"
108,New Delhi (India),MMI Online,Project Manager,"xx,xxx/yr"
109,New Delhi (India),Absolutdata,Project Manager,"xx,xxx/yr"
110,New Delhi (India),Aptara,Project Manager - Monthly,"xx,xxx/mo"
111,New Delhi (India),Oracle,Project Manager,"xx,xxx/yr"
112,New Delhi (India),Axtria,Project Manager,"xx,xxx/yr"
113,New Delhi (India),Vodafone,Project Manager,"xx,xxx/yr"
114,New Delhi (India),Vodafone,Project Manager,"xx,xxx/yr"
115,New Delhi (India),The 3C Company,Project Manager,"xx,xxx/yr"
116,New Delhi (India),FabHotels,Project Manager,"xx,xxx/yr"
117,New Delhi (India),Indian Oil,Project Manager,"xx,xxx/yr"
118,New Delhi (India),HT Media,Project Manager,"xx,xxx/yr"
119,New Delhi (India),Knight Frank,Project Manager,"xx,xxx/yr"
120,New Delhi (India),Samsung Electronics,Project Manager,"28,12,363/yr"
121,New Delhi (India),Clix Capital,Project Manager,"13,06,238/yr"
122,New Delhi (India),Honeywell,Project Manager,"15,46,179/yr"
123,New Delhi (India),National Thermal Power,Project Manager,"xx,xxx/yr"
124,New Delhi (India),Mettl,Project Manager,"xx,xxx/yr"
125,New Delhi (India),Xicom Technologies Ltd.,Project Manager - Monthly,"xx,xxx/mo"
126,New Delhi (India),VE Commercial Vehicles,Project Manager,"xx,xxx/yr"
127,New Delhi (India),U2opia Mobile,Project Manager,"xx,xxx/yr"
128,New Delhi (India),Fliplearn Education,Project Manager,"xx,xxx/yr"
129,New Delhi (India),Philips,Project Manager,"xx,xxx/yr"
130,New Delhi (India),Zopper,Project Manager,"xx,xxx/yr"
131,New Delhi (India),Ajani Infotech,Project Manager - Monthly,"xx,xxx/mo"
132,New Delhi (India),Tata Teleservices,Project Manager,"xx,xxx/yr"
133,New Delhi (India),Crescerance,Project Manager,"xx,xxx/yr"
134,New Delhi (India),Xebia,Project Manager,"xx,xxx/yr"
135,New Delhi (India),Ameyo,Project Manager,"xx,xxx/yr"
136,New Delhi (India),HCL Technologies,Project Manager - Monthly,"xx,xxx/mo"
137,New Delhi (India),Ameyo,Project Manager,"xx,xxx/yr"
138,New Delhi (India),Denave,Project Manager,"xx,xxx/yr"
139,New Delhi (India),Panasonic,Project Manager - Monthly,"xx,xxx/mo"
140,New Delhi (India),Development Alternatives (India),Project Manager - Monthly,0/mo
141,New Delhi (India),SDG Group,Project Manager,0/yr
142,New Delhi (India),Kellton Tech,Project Manager - Monthly,0/mo
143,New Delhi (India),Octro,Project Manager,"xx,xxx/yr"
144,New Delhi (India),SYSTRA,Project Manager,"xx,xxx/yr"
145,New Delhi (India),Accenture,Project Manager,"xx,xxx/yr"
146,New Delhi (India),SirionLabs,Project Manager,"xx,xxx/yr"
147,New Delhi (India),1mg,Project Manager,"xx,xxx/yr"
148,New Delhi (India),Genpact,Project Manager - Monthly,"xx,xxx/mo"
149,New Delhi (India),ITC,Project Manager,"xx,xxx/yr"
150,New Delhi (India),Publicis Sapient,Project Manager,"xx,xxx/yr"
151,New Delhi (India),Gartner,Project Manager,"xx,xxx/yr"
152,New Delhi (India),Monster Com India,Project Manager,"xx,xxx/yr"
153,New Delhi (India),Dimagi,Project Manager,"xx,xxx/yr"
154,New Delhi (India),Thomson Digital,Project Manager - Monthly,"xx,xxx/mo"
155,New Delhi (India),Times Business Solutions,Project Manager,"xx,xxx/yr"
156,New Delhi (India),Spinny,Project Manager,"xx,xxx/yr"
157,New Delhi (India),Agilent Technologies,Project Manager,"xx,xxx/yr"
158,New Delhi (India),Hewlett Packard Enterprise | HPE,Project Manager,"xx,xxx/yr"
159,New Delhi (India),Polaris FT,Project Manager,"xx,xxx/yr"
