,city,company,jobTitle,meanPay
0,New Delhi (India),HCL Technologies,Software Engineer,"4,61,905/yr"
1,New Delhi (India),Altran Americas,Software Engineer,"5,45,907/yr"
2,New Delhi (India),Accenture,Software Engineer,"5,45,907/yr"
3,New Delhi (India),Tata Consultancy Services,Software Engineer,"5,20,798/yr"
4,New Delhi (India),Tech Mahindra,Software Engineer,"4,50,780/yr"
5,New Delhi (India),Samsung Electronics,Software Engineer,"10,70,424/yr"
6,New Delhi (India),Infogain,Software Engineer,"4,97,969/yr"
7,New Delhi (India),Newgen Software,Software Engineer,"5,08,096/yr"
8,New Delhi (India),Nucleus Software Exports,Software Engineer,"6,01,037/yr"
9,New Delhi (India),Adobe,Software Engineer,"8,94,492/yr"
10,New Delhi (India),Wipro,Software Engineer,"4,78,200/yr"
11,New Delhi (India),Sopra Steria,Software Engineer,"5,49,142/yr"
12,New Delhi (India),HCL Technologies,Software Engineer - Monthly,"30,604/mo"
13,New Delhi (India),Birlasoft,Software Engineer,"5,10,754/yr"
14,New Delhi (India),GlobalLogic,Software Engineer,"5,58,199/yr"
15,New Delhi (India),Samsung Noida Lab,Software Engineer,"10,16,788/yr"
16,New Delhi (India),UnitedHealth Group,Software Engineer,"7,47,294/yr"
17,New Delhi (India),Paytm,Software Engineer,"11,01,187/yr"
18,New Delhi (India),CSC,Software Engineer,"6,91,950/yr"
19,New Delhi (India),Snapdeal,Software Engineer,"11,10,215/yr"
20,New Delhi (India),NIIT Technologies,Software Engineer,"4,38,810/yr"
21,New Delhi (India),Altran Americas,Software Engineer - Monthly,"32,000/mo"
22,New Delhi (India),NatWest Group,Software Engineer,"11,52,470/yr"
23,New Delhi (India),Tata Consultancy Services,Software Engineer - Monthly,"xx,xxx/mo"
24,New Delhi (India),Samsung R&D Institute India - Bangalore,Software Engineer,"xx,xxx/yr"
25,New Delhi (India),Amdocs,Software Engineer,"xx,xxx/yr"
26,New Delhi (India),One97 Communications,Software Engineer,"xx,xxx/yr"
27,New Delhi (India),Tech Mahindra,Software Engineer - Monthly,"xx,xxx/mo"
28,New Delhi (India),TO THE NEW,Software Engineer,"xx,xxx/yr"
29,New Delhi (India),Indus Valley Partners,Software Engineer,"xx,xxx/yr"
30,New Delhi (India),Infogain,Software Engineer - Monthly,"xx,xxx/mo"
31,New Delhi (India),Ericsson-Worldwide,Software Engineer,"xx,xxx/yr"
32,New Delhi (India),IBM,Software Engineer,"xx,xxx/yr"
33,New Delhi (India),Fiserv,Software Engineer,"xx,xxx/yr"
34,New Delhi (India),Ameyo,Software Engineer,"xx,xxx/yr"
35,New Delhi (India),Accenture,Software Engineer - Monthly,"xx,xxx/mo"
36,New Delhi (India),Samsung India Electronics,Software Engineer,"xx,xxx/yr"
37,New Delhi (India),HCL Technologies,Software Engineer,"xx,xxx/yr"
38,New Delhi (India),Chetu,Software Engineer,"xx,xxx/yr"
39,New Delhi (India),ION Trading,Software Engineer,"xx,xxx/yr"
40,New Delhi (India),Nagarro,Software Engineer,"7,07,444/yr"
41,New Delhi (India),Altran Group,Software Engineer,"4,50,000/yr"
42,New Delhi (India),Newgen Software,Software Engineer,"5,27,070/yr"
43,New Delhi (India),Info Edge,Software Engineer,"xx,xxx/yr"
44,New Delhi (India),Comviva,Software Engineer,"xx,xxx/yr"
45,New Delhi (India),Tata Consultancy Services,Software Engineer,"xx,xxx/yr"
46,New Delhi (India),HCL,Software Engineer,"xx,xxx/yr"
47,New Delhi (India),Altran Americas,Software Engineer,"xx,xxx/yr"
48,New Delhi (India),Nagarro,Software Engineer,"xx,xxx/yr"
49,New Delhi (India),Panasonic,Software Engineer,"xx,xxx/yr"
50,New Delhi (India),Eastern Software Systems,Software Engineer - Monthly,"xx,xxx/mo"
51,New Delhi (India),Nucleus Software Exports,Software Engineer - Monthly,"xx,xxx/mo"
52,New Delhi (India),Amdocs,Software Engineer,"xx,xxx/yr"
53,New Delhi (India),Newgen Software,Software Engineer - Monthly,"xx,xxx/mo"
54,New Delhi (India),Chetu,Software Engineer - Monthly,"xx,xxx/mo"
55,New Delhi (India),Compro Technologies,Software Engineer,"xx,xxx/yr"
56,New Delhi (India),R Systems,Software Engineer,"xx,xxx/yr"
57,New Delhi (India),Samsung Electronics,Software Engineer - Monthly,"xx,xxx/mo"
58,New Delhi (India),Infosys,Software Engineer,"xx,xxx/yr"
59,New Delhi (India),Optimus Information,Software Engineer,"xx,xxx/yr"
60,New Delhi (India),Zomato,Software Engineer,"17,46,231/yr"
61,New Delhi (India),Kronos Incorporated,Software Engineer,"10,38,444/yr"
62,New Delhi (India),NIIT,Software Engineer,"3,68,753/yr"
63,New Delhi (India),Bharti Airtel,Software Engineer,"xx,xxx/yr"
64,New Delhi (India),Xavient,Software Engineer,"xx,xxx/yr"
65,New Delhi (India),CenturyLink,Software Engineer,"xx,xxx/yr"
66,New Delhi (India),LIBSYS (India),Software Engineer,"xx,xxx/yr"
67,New Delhi (India),Birlasoft,Software Engineer - Monthly,"xx,xxx/mo"
68,New Delhi (India),TCS,Software Engineer,"xx,xxx/yr"
69,New Delhi (India),PayU,Software Engineer,"xx,xxx/yr"
70,New Delhi (India),Accenture,Software Engineer,"xx,xxx/yr"
71,New Delhi (India),LIBSYS (India),Software Engineer,"xx,xxx/yr"
72,New Delhi (India),Kellton Tech,Software Engineer,"xx,xxx/yr"
73,New Delhi (India),FranConnect,Software Engineer,"xx,xxx/yr"
74,New Delhi (India),Quovantis Technologies,Software Engineer,"xx,xxx/yr"
75,New Delhi (India),Wipro,Software Engineer - Monthly,"xx,xxx/mo"
76,New Delhi (India),MothersonSumi INfotech and Designs,Software Engineer,"xx,xxx/yr"
77,New Delhi (India),MakeMyTrip,Software Engineer,"xx,xxx/yr"
78,New Delhi (India),OYO,Software Engineer,"xx,xxx/yr"
79,New Delhi (India),Mindfire Solutions,Software Engineer - Monthly,"xx,xxx/mo"
80,New Delhi (India),Optum,Software Engineer,"6,75,322/yr"
81,New Delhi (India),Skilrock Technologies,Software Engineer - Monthly,"24,003/mo"
82,New Delhi (India),IGT Solutions,Software Engineer,"7,05,735/yr"
83,New Delhi (India),Algoworks Technologies,Software Engineer,"xx,xxx/yr"
84,New Delhi (India),ABC,Software Engineer,"xx,xxx/yr"
85,New Delhi (India),Cadence Design Systems,Software Engineer,"xx,xxx/yr"
86,New Delhi (India),Impetus Technologies,Software Engineer,"xx,xxx/yr"
87,New Delhi (India),Cvent,Software Engineer,"xx,xxx/yr"
88,New Delhi (India),Stryker,Software Engineer,"xx,xxx/yr"
89,New Delhi (India),Think Future Technologies,Software Engineer,"xx,xxx/yr"
90,New Delhi (India),Gemalto,Software Engineer,"xx,xxx/yr"
91,New Delhi (India),MakeMyTrip,Software Engineer,"xx,xxx/yr"
92,New Delhi (India),W. Ray Wallace,Software Engineer,"xx,xxx/yr"
93,New Delhi (India),Cavisson Systems,Software Engineer,"xx,xxx/yr"
94,New Delhi (India),Nirvana Solutions,Software Engineer,"xx,xxx/yr"
95,New Delhi (India),Josh Technology Group,Software Engineer,"xx,xxx/yr"
