,city,company,jobTitle,meanPay
0,New Delhi (India),Altran Americas,Senior Software Engineer,"8,63,334/yr"
1,New Delhi (India),Accenture,Senior Software Engineer,"8,95,416/yr"
2,New Delhi (India),Sopra Steria,Senior Software Engineer,"7,27,613/yr"
3,New Delhi (India),HCL Technologies,Senior Software Engineer,"7,23,977/yr"
4,New Delhi (India),NIIT Technologies,Senior Software Engineer,"6,60,207/yr"
5,New Delhi (India),GlobalLogic,Senior Software Engineer,"8,71,242/yr"
6,New Delhi (India),Newgen Software,Senior Software Engineer,"7,12,804/yr"
7,New Delhi (India),Nucleus Software Exports,Senior Software Engineer,"9,11,372/yr"
8,New Delhi (India),Paytm,Senior Software Engineer,"18,61,123/yr"
9,New Delhi (India),Tech Mahindra,Senior Software Engineer,"6,54,000/yr"
10,New Delhi (India),Nagarro,Senior Software Engineer,"10,86,048/yr"
11,New Delhi (India),Wipro,Senior Software Engineer,"7,37,311/yr"
12,New Delhi (India),Birlasoft,Senior Software Engineer,"9,39,231/yr"
13,New Delhi (India),Snapdeal,Senior Software Engineer,"18,04,167/yr"
14,New Delhi (India),Ericsson-Worldwide,Senior Software Engineer,"12,26,409/yr"
15,New Delhi (India),CSC,Senior Software Engineer,"11,17,337/yr"
16,New Delhi (India),Altran Americas,Senior Software Engineer - Monthly,"46,889/mo"
17,New Delhi (India),Adobe,Senior Software Engineer,"10,81,954/yr"
18,New Delhi (India),HCL Technologies,Senior Software Engineer - Monthly,"36,394/mo"
19,New Delhi (India),Info Edge,Senior Software Engineer,"11,78,413/yr"
20,New Delhi (India),UnitedHealth Group,Senior Software Engineer,"11,58,745/yr"
21,New Delhi (India),Samsung Electronics,Senior Software Engineer,"11,25,025/yr"
22,New Delhi (India),MakeMyTrip,Senior Software Engineer,"16,05,267/yr"
23,New Delhi (India),Fiserv,Senior Software Engineer,"xx,xxx/yr"
24,New Delhi (India),TO THE NEW,Senior Software Engineer,"xx,xxx/yr"
25,New Delhi (India),Mercer,Senior Software Engineer,"xx,xxx/yr"
26,New Delhi (India),IBM,Senior Software Engineer,"xx,xxx/yr"
27,New Delhi (India),NIIT Technologies,Senior Software Engineer - Monthly,"xx,xxx/mo"
28,New Delhi (India),Publicis Sapient,Senior Software Engineer,"xx,xxx/yr"
29,New Delhi (India),Impetus Technologies,Senior Software Engineer,"xx,xxx/yr"
30,New Delhi (India),Infogain,Senior Software Engineer,"xx,xxx/yr"
31,New Delhi (India),Samsung India Electronics,Senior Software Engineer,"xx,xxx/yr"
32,New Delhi (India),Indus Valley Partners,Senior Software Engineer,"xx,xxx/yr"
33,New Delhi (India),R Systems,Senior Software Engineer,"xx,xxx/yr"
34,New Delhi (India),Hughes Systique,Senior Software Engineer,"xx,xxx/yr"
35,New Delhi (India),Kronos Incorporated,Senior Software Engineer,"xx,xxx/yr"
36,New Delhi (India),Tata Consultancy Services,Senior Software Engineer,"xx,xxx/yr"
37,New Delhi (India),Stryker,Senior Software Engineer,"xx,xxx/yr"
38,New Delhi (India),hCentive,Senior Software Engineer,"xx,xxx/yr"
39,New Delhi (India),Accenture,Senior Software Engineer - Monthly,"xx,xxx/mo"
40,New Delhi (India),Chetu,Senior Software Engineer,"6,31,647/yr"
41,New Delhi (India),Aon Hewitt,Senior Software Engineer,"8,47,150/yr"
42,New Delhi (India),Comviva,Senior Software Engineer,"9,80,996/yr"
43,New Delhi (India),Amdocs,Senior Software Engineer,"xx,xxx/yr"
44,New Delhi (India),Incedo,Senior Software Engineer,"xx,xxx/yr"
45,New Delhi (India),Bharti Airtel,Senior Software Engineer,"xx,xxx/yr"
46,New Delhi (India),IGATE,Senior Software Engineer,"xx,xxx/yr"
47,New Delhi (India),Altran Americas,Senior Software Engineer,"xx,xxx/yr"
48,New Delhi (India),FIS,Senior Software Engineer,"xx,xxx/yr"
49,New Delhi (India),Guavus,Senior Software Engineer,"xx,xxx/yr"
50,New Delhi (India),Landis+Gyr,Senior Software Engineer,"xx,xxx/yr"
51,New Delhi (India),Bank of America,Senior Software Engineer,"xx,xxx/yr"
52,New Delhi (India),Tavant,Senior Software Engineer,"xx,xxx/yr"
53,New Delhi (India),Newgen Software,Senior Software Engineer - Monthly,"xx,xxx/mo"
54,New Delhi (India),STMicroelectronics,Senior Software Engineer,"xx,xxx/yr"
55,New Delhi (India),One97 Communications,Senior Software Engineer,"xx,xxx/yr"
56,New Delhi (India),Fareportal,Senior Software Engineer,"xx,xxx/yr"
57,New Delhi (India),MakeMyTrip,Senior Software Engineer,"xx,xxx/yr"
58,New Delhi (India),GlobalLogic,Senior Software Engineer - Monthly,"xx,xxx/mo"
59,New Delhi (India),Samsung R&D Institute India - Bangalore,Senior Software Engineer,"xx,xxx/yr"
60,New Delhi (India),Chetu,Senior Software Engineer - Monthly,"53,128/mo"
61,New Delhi (India),Xavient,Senior Software Engineer,"8,87,052/yr"
62,New Delhi (India),IGT Solutions,Senior Software Engineer,"9,30,753/yr"
63,New Delhi (India),Aristocrat Technologies,Senior Software Engineer,"xx,xxx/yr"
64,New Delhi (India),3Pillar Global,Senior Software Engineer,"xx,xxx/yr"
65,New Delhi (India),Appster,Senior Software Engineer,"xx,xxx/yr"
66,New Delhi (India),Atrenta,Senior Software Engineer,"xx,xxx/yr"
67,New Delhi (India),Times Internet,Senior Software Engineer,"xx,xxx/yr"
68,New Delhi (India),HCL,Senior Software Engineer,"xx,xxx/yr"
69,New Delhi (India),Headstrong,Senior Software Engineer,"xx,xxx/yr"
70,New Delhi (India),Capgemini,Senior Software Engineer,"xx,xxx/yr"
71,New Delhi (India),Mindfire Solutions,Senior Software Engineer - Monthly,"xx,xxx/mo"
72,New Delhi (India),NIIT Technologies,Senior Software Engineer,"xx,xxx/yr"
73,New Delhi (India),Yatra Online Pvt Ltd,Senior Software Engineer,"xx,xxx/yr"
74,New Delhi (India),VVDN Technologies,Senior Software Engineer,"xx,xxx/yr"
75,New Delhi (India),Sopra Steria,Senior Software Engineer - Monthly,"xx,xxx/mo"
76,New Delhi (India),Samsung Noida Lab,Senior Software Engineer,"xx,xxx/yr"
77,New Delhi (India),Gemalto,Senior Software Engineer,"xx,xxx/yr"
78,New Delhi (India),Kellton Tech,Senior Software Engineer,"xx,xxx/yr"
79,New Delhi (India),Ciena,Senior Software Engineer,"xx,xxx/yr"
80,New Delhi (India),Nucleus Software Exports,Senior Software Engineer - Monthly,"56,868/mo"
81,New Delhi (India),Altran Group,Senior Software Engineer,"6,74,671/yr"
82,New Delhi (India),IBM India,Senior Software Engineer,"10,50,113/yr"
83,New Delhi (India),Sdgc,Senior Software Engineer,"xx,xxx/yr"
84,New Delhi (India),BA Continuum India,Senior Software Engineer,"xx,xxx/yr"
85,New Delhi (India),Aon,Senior Software Engineer,"xx,xxx/yr"
86,New Delhi (India),Quovantis Technologies,Senior Software Engineer,"xx,xxx/yr"
87,New Delhi (India),Optum,Senior Software Engineer,"xx,xxx/yr"
88,New Delhi (India),Wipro,Senior Software Engineer - Monthly,"xx,xxx/mo"
89,New Delhi (India),Gemini Solutions,Senior Software Engineer,"xx,xxx/yr"
90,New Delhi (India),7N,Senior Software Engineer,"xx,xxx/yr"
91,New Delhi (India),Josh Technology Group,Senior Software Engineer,"xx,xxx/yr"
92,New Delhi (India),DXC Technology,Senior Software Engineer,"xx,xxx/yr"
93,New Delhi (India),Tech Mahindra,Senior Software Engineer - Monthly,"xx,xxx/mo"
94,New Delhi (India),1E,Senior Software Engineer,"xx,xxx/yr"
95,New Delhi (India),Helm360,Senior Software Engineer,"xx,xxx/yr"
96,New Delhi (India),GreyOrange,Senior Software Engineer,"xx,xxx/yr"
97,New Delhi (India),Virtual Employee,Senior Software Engineer,"xx,xxx/yr"
98,New Delhi (India),Newgen Software,Senior Software Engineer,"xx,xxx/yr"
99,New Delhi (India),Accenture,Senior Software Engineer,"xx,xxx/yr"
100,New Delhi (India),FranConnect,Senior Software Engineer,"8,87,900/yr"
101,New Delhi (India),Cyber Group,Senior Software Engineer,"8,72,066/yr"
102,New Delhi (India),MediaTek,Senior Software Engineer,"15,33,244/yr"
103,New Delhi (India),RateGain,Senior Software Engineer,"xx,xxx/yr"
104,New Delhi (India),Conduent,Senior Software Engineer,"xx,xxx/yr"
105,New Delhi (India),GlobalLogic,Senior Software Engineer,"xx,xxx/yr"
106,New Delhi (India),HCL,Senior Software Engineer - Monthly,"xx,xxx/mo"
107,New Delhi (India),Zomato,Senior Software Engineer,"xx,xxx/yr"
108,New Delhi (India),Tata Consultancy Services,Senior Software Engineer,"xx,xxx/yr"
109,New Delhi (India),Optimus Information,Senior Software Engineer,"xx,xxx/yr"
110,New Delhi (India),Bhavna,Senior Software Engineer,"xx,xxx/yr"
111,New Delhi (India),Xicom Technologies Ltd.,Senior Software Engineer - Monthly,"xx,xxx/mo"
112,New Delhi (India),TO THE NEW,Senior Software Engineer - Monthly,"xx,xxx/mo"
113,New Delhi (India),R Systems,Senior Software Engineer - Monthly,"xx,xxx/mo"
